Found,quasiharmonic,mode,:,phonon
T(K),volume,F(eV),S(J/K),H(J/K),a(-6/K),Cp(J/mol),Cv,Cpion,Bt(GPa),T_ph-D(K),T-D(K),F_el_atom,S_el_atom,C_el_atom,M_el,Seebeck_coefficients(10**-6,V/K),Lorenz_number(WOK^{-2}),Q_el,Q_p,Q_e,C_mu,W_p,W_e,Y_p,Y_e
690,15.2164061108547,-4.734323879849751,46.76498754960763,-424524.97050172096,1.6110877826432858e-05,26.402259608763192,24.956431151135988,25.911534761451506,97.88671784175575,429.9838245905892,379.02560115007077,-0.0016372576026216696,0.4671428386766686,0.49072484731168536,0.011742235162716316,29.52131801626073,2.6033245844265017e-08,0.01683531790772337,0.008955230190989273,0.00788007848559095,0.5071503633169051,0.009738011238978276,0.007097306668745093,0.011610622775998596,0.011610622775933548,1.7219416524556799,1.772023433684138
695,15.220086750027512,-4.7367825119679345,46.95594061894361,-424395.65511726827,1.6136719566163225e-05,26.42705537454946,24.96747101936143,25.9324457307675,97.76949055024077,429.79895742062996,378.85105263241985,-0.0016619518681761836,0.4708068710947041,0.4946096437819612,0.011888528434300867,29.60752816970111,2.60368300236639e-08,0.016966257919449387,0.009027086658007654,0.00793916202896332,0.5112598045819684,0.009819750344037747,0.007146507575411646,0.011700813808089105,0.011700813808023406,1.7083699777561776,1.7726505858203845
700,15.223774180390157,-4.739251582007031,47.145703933506205,-424266.2701367295,1.616255980515086e-05,26.4517421737164,24.978360979997344,25.953245936404812,97.65197861353997,429.6135321468861,378.67618205328375,-0.0016868421739258113,0.4744742387451922,0.49849623731158704,0.012035245223032495,29.69218158366962,2.604026796650704e-08,0.017097319535399096,0.009099015500278973,0.007998294801304,0.5153711738410093,0.009901593218764666,0.007195726316634425,0.011791084377001946,0.011791084376936913,1.694994482295333,1.7732773574279865
705,15.227468406491495,-4.741731031190559,47.33429367747108,-424136.81632551405,1.618840190340953e-05,26.47632455644423,24.98910517809437,25.97393998464064,97.53418152603527,429.42755334806634,378.50098919693994,-0.0017119287487700496,0.47814492418485566,0.5023845718035884,0.012182377869199507,29.775291835170353,2.60435600599374e-08,0.017228502735312762,0.00917101633200281,0.008057477168153691,0.5194843831638621,0.009983538976898835,0.007244963758413929,0.011881434427221544,0.011881434427158614,1.68181091461112,1.7739037835834208
710,15.231169433641327,-4.744220801572448,47.52172572354625,-424007.29442661244,1.6214249110463673e-05,26.50080692861936,24.999707619041022,25.994532334056526,97.41609873171971,429.2410253921582,378.32547381157946,-0.0017372118209859908,0.481818910048315,0.5062745945628359,0.012329918776425957,29.856872439341316,2.6046706874685364e-08,0.017359807489518472,0.009243088766112444,0.00811670948690718,0.5235993483410721,0.010065586727396384,0.0072942207621220865,0.011971863900821746,0.011971863900759718,1.6688151527633857,1.7745298947794146
715,15.234877267896378,-4.746720836021717,47.70801564077254,-423877.70516132703,1.6240104618310777e-05,26.52519356725516,25.010172174373757,26.015027310910842,97.29772965931099,429.0539524443343,378.14963560997165,-0.0017626916182578503,0.48549617907202686,0.5101662563443213,0.012477860411444745,29.93693684999567,2.6049709160154758e-08,0.01749123375924187,0.009315232414408792,0.008175992106989192,0.5277159889382768,0.010147735596154405,0.0073434981630874675,0.012062372737572028,0.012062372737511618,1.6560031873674348,1.7751557230016
720,15.238591916045173,-4.7492310782074885,47.89317870209041,-423748.04922997014,1.6265971553179254e-05,26.54948862373059,25.020502587315,26.035429112334906,97.1790737009925,428.86633847424866,377.97347427018144,-0.001788368367664669,0.4891767141177655,0.5140595113956854,0.012626195303823348,30.015498459977294,2.6052567839394804e-08,0.017622781496931007,0.009387446887706298,0.008235325370033329,0.5318342283444425,0.010229984676912824,0.0073927968200181845,0.012152960875057506,0.012152960874998163,1.6433711210430362,1.7757813000750795
725,15.242313385592656,-4.75175147258441,48.07722989167877,-423618.32731253887,1.629185293784143e-05,26.573696122028124,25.030702478052266,26.055741804533874,97.06013024953536,428.6781872630041,377.79698943629865,-0.0018142422957158923,0.49286049819557376,0.5179543174942487,0.012774916045738868,30.09257060133762,2.605528400398295e-08,0.01775445064659257,0.009459731795981727,0.0082947096100695,0.5359539938142097,0.010312333095667153,0.0074421175509254145,0.012243628248797945,0.01224362824873988,1.6309151721197988,1.7764066538901797
730,15.246041684737632,-4.754281964378319,48.26018391205161,-423488.5400693705,1.631775175332489e-05,26.597819973992838,25.040775348770936,26.075969338014406,96.94089864735776,428.48950241031287,377.62018071950786,-0.001840313628316317,0.4965475144860128,0.5218506359784326,0.012924015291726574,30.16816654535198,2.6057858908827434e-08,0.017886241144133123,0.009532086748527973,0.008354145153711405,0.5400752165042347,0.010394779987747996,0.007491461156385129,0.012334374792371585,0.012334374792313918,1.6186316597060095,1.777031813891934
735,15.249776822371457,-4.756822499572477,48.44205519101285,-423358.6881417446,1.6343670915481712e-05,26.621863979909918,25.050724588456873,26.096115548135074,96.82137822442898,428.30028734043475,377.44304769815056,-0.001866582590835649,0.5002377463625179,0.5257484317748412,0.013073485758449922,30.242299502378742,2.606029396691648e-08,0.01801815291773385,0.009604511354123551,0.00841363232036168,0.544197831504819,0.010477324457809377,0.007540828459924473,0.01242520043755634,0.012425200437499262,1.606517004580449,1.7776568088999758
740,15.253518808052904,-4.759373024893909,48.62285788832999,-423228.7721524937,1.636961327332532e-05,26.645831832465873,25.06055347747547,26.116184159046675,96.70156830917796,428.1105453085622,377.2655899189169,-0.0018930494080878334,0.5039311774125006,0.5296476734191955,0.013223320224454048,30.314982621579624,2.6062590743999275e-08,0.018150185888209488,0.009677005221195648,0.008473171422407888,0.5483217778649899,0.010559965629021355,0.00759022025918813,0.012516105114460982,0.01251610511440465,1.5945677262848992,1.7782816668350452
745,15.257267652005888,-4.761933487800282,48.80260590228327,-423098.7927065592,1.6395581626533057e-05,26.669727123112228,25.070265191943136,26.136178790038713,96.58146817134798,427.9202794064497,377.0878068969539,-0.0019197143043593703,0.5076277914586004,0.5335483330735151,0.013373511529927893,30.38622899051068,2.6064750953249643e-08,0.01828233996940093,0.00974956795799974,0.00853276276543546,0.5524469986134689,0.010642702651718159,0.007639637317682768,0.012607088751676054,0.012607088751620596,1.5827804386855582,1.7789064152920284
750,15.261023365096555,-4.764503836466886,48.98131287596126,-422968.75039155077,1.6421578687345887e-05,26.693553339201976,25.07986280789768,26.156102952664277,96.46107707323955,427.7294925682504,376.90969811695163,-0.001946577503401447,0.5113275725787337,0.5374503865376989,0.013524052576468434,30.45605163459581,2.606677644989328e-08,0.018414615068552766,0.00982219917279141,0.008592406648433405,0.5565734407736532,0.010725534660463254,0.007689080408089512,0.012698151276412929,0.012698151276358531,1.5711518535087432,1.779531078074595
755,15.26478595882657,-4.767084019774106,49.15899220342118,-422838.6457782663,1.6447607157395426e-05,26.717313882439864,25.0893493052809,26.175960069182477,96.3403942632367,427.5381875758263,376.73126303346174,-0.0019736392284736954,0.5150305051260877,0.5413538132573895,0.013674936326833084,30.524463516495004,2.60686692258359e-08,0.018547011086715783,0.009894898474011633,0.008652103364011534,0.5607010553745292,0.01080846076131852,0.0077385503253972615,0.012789292614659699,0.012789292614605267,1.5596787618203256,1.780155683156792
760,15.268555445326403,-4.769673987295167,49.335657035669406,-422708.47942119004,1.647366967102124e-05,26.741012060870226,25.09872757174197,26.195753464542907,96.21941895102785,427.3463670633869,376.5525010712159,-0.0020008997023650836,0.5187365737485128,0.545258596327315,0.013826155804714007,30.59147753536927,2.60704314042817e-08,0.018679527919154806,0.009967665470472923,0.00871185319862217,0.564829797456703,0.010891480120989219,0.007788047798165587,0.01288051269133649,0.012880512691283893,1.5483580444875158,1.7807802558234604
765,15.27233183733683,-4.772273689284077,49.511320286436714,-422578.25185898785,1.6499768791269824e-05,26.764651092238648,25.10800040626784,26.215486369748568,96.09815036869523,427.1540335228336,376.3734116260027,-0.0020283591473743037,0.5224457634070089,0.5491647224900813,0.013977704094460593,30.65710652606787,2.6072065234358774e-08,0.01881216545574999,0.010040499771545875,0.008771656432774883,0.5689596260735253,0.010974591898385047,0.00783757355736494,0.012971811430452326,0.012971811430400375,1.537186668326997,1.7814048191418608
770,15.276115148201438,-4.7748830766639445,49.6859946378184,-422447.96361496794,1.6525907072530123e-05,26.788234117050123,25.11717052265319,26.235161934918615,95.97658762231708,426.96118930816306,376.1939940650236,-0.0020560177853772253,0.5261580593939164,0.5530721821315099,0.014129574340860892,30.72136325823361,2.6073573085774678e-08,0.01894492358141258,0.010113400987348187,0.008831513341263232,0.5730905042884281,0.011057795214142551,0.007887128367270029,0.013063188755262724,0.013063188755210281,1.5261616761920185,1.7820293977558659
775,15.279905391862764,-4.777502101015593,49.8596925457648,-422317.6151975196,1.6552087006248282e-05,26.811764195262477,25.126240552815254,26.25478322599051,95.85472995422221,426.76783663984577,376.01424772707577,-0.0020838758378229428,0.5298734473506493,0.5569809692719657,0.014281759748893914,30.78426043533565,2.6074957443483455e-08,0.019077802176509263,0.010186368728939861,0.008891424193393923,0.577222399167916,0.011141089223385053,0.007936712953124208,0.013154644588436093,0.013154644588387047,1.5152801868118237,1.7826540166594222
780,15.283702582843858,-4.780130714566336,50.03242624537034,-422187.207100557,1.6578311032232304e-05,26.835244306011955,25.135213049961234,26.274353224458228,95.73257643779554,426.57397760916365,375.8341719234264,-0.0021119335257623172,0.5335919132844293,0.5608910815537268,0.014434253583416861,30.845810693656674,2.6076220902394526e-08,0.01921080111727464,0.010259402608516741,0.008951389253205709,0.5813552817702724,0.011224473107365494,0.007986328009909146,0.013246178852220188,0.013246178852170953,1.5045394009190634,1.7832786965542775
785,15.287506736246483,-4.782768870179138,50.20420775606674,-422056.739803919,1.6604581574997513e-05,26.85867736187907,25.144090491617114,26.29387484165364,95.61012621476448,426.3796141820015,375.65376593789824,-0.0021401910698676976,0.5373134435848419,0.5648025202254315,0.014587049168980773,30.906026601216464,2.6077366162131893e-08,0.019343920276240205,0.010332502239602366,0.009011408779706579,0.5854891271310328,0.011307946031373696,0.008035974244866514,0.013337791468601853,0.013337791468551692,1.4939365837449892,1.783903461966856
790,15.291317867742219,-4.785416521341985,50.37504888664024,-421926.2137737707,1.6630901012448365e-05,26.882066203283483,25.152875282522064,26.31335091316078,95.48737838879535,426.1847482029666,375.47302902729115,-0.0021686486904501784,0.5410380250396628,0.5687152901227025,0.014740139889531313,30.96492065665845,2.6078396021826604e-08,0.019477159522660468,0.010405667237246317,0.009071483027101465,0.5896239142443243,0.011391507128546058,0.008085652394114412,0.013429482359479692,0.0134294823594309,1.483469073082663,1.784528335704342
795,15.295135993562646,-4.788073622157461,50.544961240114596,-421795.629462983,1.6657271659876638e-05,26.90541359704418,25.16156975739727,26.3327841973985,95.3643319992411,425.98938139878743,375.29196042184805,-0.0021973066075217833,0.5447656448500513,0.5726293996456818,0.014893519188120704,31.02250528810423,2.6079313374972766e-08,0.019610518722937953,0.010478897218220548,0.009131612245020964,0.5937596260408274,0.011475155596638724,0.008135363126299224,0.013521251446834155,0.013521251446786687,1.4731342812934198,1.7851533364667085
800,15.298961130489005,-4.790740127332606,50.71395621848817,-421664.9873115071,1.6683695846597475e-05,26.928722257144212,25.17017618359305,26.35217739641079,95.24098615543116,425.79351538213217,375.11055932574504,-0.002226165040764301,0.5484962906450938,0.5765448607334225,0.015047180566650544,31.078792851978022,2.6080121204343335e-08,0.01974399774104635,0.010552191801211875,0.009191796678751986,0.5978962493622957,0.01155889063148574,0.008185107109560613,0.013613098652892022,0.013613098652842869,1.462929674047448,1.7857784894008126
805,15.302793295857091,-4.793415992169105,50.882045027387555,-421534.2877467084,1.6710175818573148e-05,26.951994823098943,25.178696763623115,26.371533134262876,95.1173398409262,425.597151654496,374.9288249168593,-0.002255224209598058,0.5522299504962671,0.5804616888360675,0.015201117585621727,31.133795631806766,2.6080822576980153e-08,0.019877596438971183,0.010625550607022053,0.009252036569478293,0.6020337749336064,0.01164271140709288,0.008234885031878303,0.013705023900301393,0.01370502390025381,1.4528527940893625,1.7864038118269423
810,15.306632507530248,-4.796101172553414,51.04923868049866,-421403.5311837337,1.6736713832834446e-05,26.975233885151738,25.187133637585596,26.390853982268993,94.99339209017589,425.4002916103493,374.7467563480499,-0.0022844843332162548,0.5559666129303138,0.5843799028827404,0.0153553238637887,31.187525837018534,2.608142063923294e-08,0.02001131467711406,0.010698973258755936,0.009312332154496675,0.6061721973302299,0.011726617118759053,0.008284697558355005,0.013797027112295366,0.013797027112248197,1.442901235401719,1.787029326494813
815,15.310478783922246,-4.798795624947619,51.215548004018665,-421272.7180257988,1.6763312112749855e-05,26.998441976056952,25.195488885486302,26.410142450807896,94.869141934257,425.20293975883646,374.5643527460728,-0.002313945630554259,0.5597062669431386,0.5882995252490582,0.015509793077905551,31.23999560171393,2.6081918611900395e-08,0.020145152314752304,0.010772459382029946,0.009372683667468061,0.6103115149451064,0.011810606987657683,0.008334545327094621,0.013889108212879867,0.013889108212830927,1.4330726521282318,1.7876550556196749
820,15.314332143960135,-4.801499306379858,51.38098364081371,-421141.848664543,1.678997280029972e-05,27.021621560592095,25.20376452945389,26.429400978872586,94.74458829119048,425.0050907663325,374.38161321334246,-0.0023436083204023284,0.5634489020111134,0.5922205817195103,0.015664518962449966,31.29121698345534,2.6082319785426154e-08,0.02027910921042452,0.010846008605144203,0.009433091338630975,0.6144517299500877,0.01189468023903666,0.008384428971387862,0.013981267126976173,0.013981267126927502,1.423364769432994,1.7882810135790743
825,15.318192607099997,-4.804212174435549,51.545556054614664,-421010.9234803043,1.6816698098766134e-05,27.044775071601862,25.21196253586887,26.448631970152036,94.61973014734359,424.80674902511856,374.19853682718474,-0.0023734726213628524,0.5671945081036596,0.5961431014498229,0.01581949530927449,31.34120196204644,2.6082627515195667e-08,0.02041318522238011,0.010919620559291379,0.009493555395042153,0.6185928482571846,0.011978836128653024,0.008434349093727095,0.01407350378061498,0.014073503780567147,1.4137753493611547,1.7889072253981222
830,15.322060193318055,-4.806934187248523,51.70927553402652,-420879.9428424141,1.684349011865795e-05,27.067904877111886,25.22008481739666,26.46783776018591,94.49456647575798,424.60791552761145,374.0151226402587,-0.0024035387519395967,0.5709430756943754,0.6000671169259754,0.01597471596731941,31.389962438323998,2.6082845216910506e-08,0.020547380208993767,0.010993294878742777,0.009554076060805022,0.6227348794762146,0.01206307390341256,0.008484306305581207,0.014165818101099882,0.014165818101051424,1.4043022208561746,1.7895337086478682
835,15.325934923096552,-4.809665303492316,51.87215219641518,-420748.90710949,1.6870350961380244e-05,27.09101329819402,25.22813323493614,26.48702063427312,94.36909614176155,424.40859117262573,373.8313696812264,-0.0024338069305161795,0.5746945957714239,0.6039926639209041,0.016130174842316956,31.43751023296516,2.6082976362050292e-08,0.02068169402917015,0.011067031201029117,0.009614653557293558,0.6268778368699174,0.01214739280448468,0.008534301224685473,0.014258210017165885,0.014258210017116557,1.3949432657788423,1.7901604804420232
840,15.329816817428846,-4.812405482371864,52.034195991745115,-420617.8166296923,1.6897282721870913e-05,27.11410261466632,25.236109599486653,26.50618283321626,94.24331807517684,424.208776767838,373.6472769545108,-0.0024642773754376605,0.5784490598480523,0.6079197814500562,0.016285865896464916,31.483857085306948,2.6083024473430233e-08,0.020816126542769476,0.011140829167133553,0.009675288103384848,0.6310217373077344,0.01223179203821687,0.008584334504552602,0.014350679459156192,0.014350679459108881,1.3856964115834811,1.7907875608351076
845,15.33370589781169,-4.815154683615232,52.195416706275786,-420486.6717409861,1.6924287477465423e-05,27.137175062291988,25.244015673936556,26.52532655056752,94.11723116640255,424.00847303163073,373.4628434406621,-0.002494950305007436,0.5822064599721508,0.6118485117244665,0.01644178314806676,31.52901465219138,2.608299312084341e-08,0.0209506776110143,0.011214688421676836,0.009735979915680744,0.635166601216913,0.012316270831120415,0.008634406779893885,0.01444322635919164,0.014443226359143324,1.3765596355014085,1.791414969541856
850,15.337602186245736,-4.817912867465642,52.355823966180985,-420355.4727713902,1.6951367270133215e-05,27.160232830217993,25.251853174776127,26.54445393011548,93.99083426199887,423.8076805958187,373.2780680963342,-0.0025258259375279305,0.5859667887354718,0.6157789001025152,0.016597920671272803,31.57299450682862,2.608288591680769e-08,0.02108534709689849,0.011288608613095363,0.009796729208738744,0.6393124525320989,0.01240082844895531,0.00868451864794318,0.014535850651328883,0.014535850651282366,1.3675309665564193,1.7920427238481382
855,15.34150570522265,-4.820679994673509,52.51542724103847,-420224.2200392255,1.6978524121300044e-05,27.18327806639283,25.259623773739175,26.563567071353177,93.86412620067996,423.60640000777295,373.09294985489515,-0.0025569044913492825,0.5897300392819815,0.6197109950396522,0.016754272595675437,31.615808137703965,2.6082706512406085e-08,0.021220134865579658,0.011362589393820996,0.009857536195284643,0.6434593186427375,0.012485464148158437,0.008734670717421221,0.014628552271727798,0.014628552271681777,1.3586084804860843,1.7926708407506402
860,15.345416477729339,-4.823456026488837,52.67423584726962,-420092.9138533391,1.7005760039394137e-05,27.206312881249314,25.26732909937716,26.58266803321227,93.73710584070619,423.4046317323691,372.9074876262271,-0.002588186184902784,0.593496205316182,0.6236448480370439,0.016910833106011366,31.657466947497994,2.6082458593221376e-08,0.02135504078478419,0.011436630420458534,0.009918401086440052,0.6476072303392229,0.012570177150998387,0.008784863633785799,0.01472133115881373,0.014721331158765746,1.349790296391839,1.7932993381666174
865,15.34933452723938,-4.826240924653672,52.832258951456666,-419961.5545133355,1.7033077030778147e-05,27.22933934975235,25.274970738567813,26.601758836163896,93.60977197037407,423.20237615386077,372.7216802971327,-0.0026196712367104378,0.5972652811105109,0.6275805135884547,0.017067596441831066,31.69798225205267,2.608214587537278e-08,0.021490064725191896,0.011510731353954674,0.00997932409193814,0.6517562217571289,0.012654966742082822,0.008835097983109077,0.01481418725343168,0.014814187253384304,1.3410745765896963,1.7939282342623306
870,15.35325987772023,-4.8290346513948705,52.98950557361553,-419830.142309777,1.7060477087256358e-05,27.25235951158437,25.28255023796241,26.620841462457822,93.48212339012046,422.99963357752176,372.5355267309929,-0.0026513598654576646,0.6010372615128613,0.6315180491265492,0.017224556897095643,31.737365279369225,2.6081772101654183e-08,0.021625206560837978,0.011584891859780394,0.010040305420343166,0.6559063303207376,0.012739832214283705,0.008885374346554273,0.01490712049902226,0.014907120498974757,1.3324595251454245,1.7945575475917648
875,15.357192553618146,-4.831837169416784,53.14598459031902,-419698.67752440996,1.7087962140841226e-05,27.275375360696096,25.290069105371305,26.63991784572923,93.35415885599018,422.79640423217666,372.34902576848253,-0.0026832522900024315,0.6048121419527143,0.6354575149668649,0.017381708819875392,31.775627168649358,2.60813410377648e-08,0.02176046616947673,0.011659111608085818,0.010101345279259351,0.6600575966840723,0.012824772823489216,0.008935693345987516,0.015000130841760252,0.015000130841713782,1.323943396253189,1.7951872911574012
880,15.361132579859554,-4.834648441894288,53.30170473778597,-419567.1604303593,1.711553418061721e-05,27.29838887438966,25.297528811095933,26.658989900138018,93.22587712296789,422.5926882709471,372.16217622750514,-0.0027153487294203104,0.60858991844746,0.6393989742516408,0.017539046611960138,31.81277896937638,2.6080856468650463e-08,0.021895843432963517,0.011733390273870173,0.010162443875542859,0.6642100646716863,0.012909787851285279,0.008986055581678237,0.01509321823071782,0.015093218230671914,1.3155244719244659,1.795817485432843
885,15.365079981859719,-4.837468432466062,53.456674614911265,-419435.59129230736,1.714319514023146e-05,27.3214019883234,25.304930789204448,26.6780594954306,93.09727693639803,422.3884857736302,371.9749769027817,-0.0027476494030374845,0.6123705876084828,0.6433424928928037,0.017696564728508828,31.848831640432525,2.6080322194941883e-08,0.022031338237639028,0.011807727537149504,0.010223601415518398,0.6683637812184942,0.012994876617419254,0.009036461620219776,0.015186382618025181,0.015186382617978828,1.307201080490367,1.7964481462680177
890,15.369034785501398,-4.840297105227648,53.61090268613247,-419303.97036670626,1.717094693525593e-05,27.34441660584704,25.312276438756356,26.697128466334107,92.96835701869195,422.18379674765,371.7874265668632,-0.0027801545304978617,0.6161541466456858,0.6472881395129364,0.017854257677694697,31.883796049277567,2.607974202949524e-08,0.02216695047466775,0.011882123083100824,0.010284818105173494,0.6725187963074587,0.013080038430263596,0.009086912044404155,0.015279623959003029,0.01527962395895679,1.2989715895975502,1.7970792884761715
895,15.372997017150567,-4.843134424725096,53.76439728432732,-419172.29790193314,1.719879151792975e-05,27.36743461168987,25.319567124977226,26.71619862630316,92.83911605389365,421.9786211300681,371.59952396938485,-0.002812864331732108,0.6199405933729526,0.6512359853867103,0.0180121200203111,31.917682971152292,2.6079119794025886e-08,0.022302680040420204,0.011956576602230883,0.010346094150371958,0.6766751629076679,0.013165272569409393,0.009137407471010805,0.015372942212330085,0.015372942212283266,1.2908343967289975,1.7977109311715433
900,15.376966703646207,-4.845980355948473,53.91716661356185,-419040.57413847867,1.7226730765830976e-05,27.390457847493877,25.32680418038658,26.735271743112943,92.70955272742923,421.7729587887738,371.4112678375501,-0.002845779027098219,0.623729926212188,0.6551861043809335,0.018170146369420898,31.95050308834729,2.6078459315858104e-08,0.022438526836812793,0.01203108779051971,0.010407429757050217,0.6808329369109274,0.013250578375192522,0.009187948461620273,0.015466337340178465,0.01546633734013189,1.2827879455118665,1.798343086794265
905,15.38094387229569,-4.848834864325515,54.06921875178906,-418908.79930911347,1.7254766607882505e-05,27.41348814176851,25.333988905880375,26.75434956887456,92.57966568483863,421.5668095236315,371.22265687635,-0.002878898837289265,0.6275221441971577,0.6591385728939493,0.01832833138996269,31.982266989514727,2.6077764424764105e-08,0.022574490771649677,0.012105656349567881,0.010468825131411912,0.6849921770676224,0.013335955195879125,0.009238535575770554,0.015559809308357389,0.015559809308310872,1.2748307053544552,1.7989757734058613
910,15.384928550888631,-4.851697915715726,54.22056165352434,-418776.97363903647,1.7282900944575432e-05,27.43652729340979,25.341122571770423,26.773433823614564,92.44945359908185,421.3601730680155,371.0336897679057,-0.002912223983522093,0.6313172469775828,0.6630934697952279,0.018486669798381466,32.01298516901709,2.6077038949904604e-08,0.02271057175898192,0.012180281986750266,0.010530280480133268,0.6891529449227093,0.013421402340886887,0.009289169418095027,0.015653358086466358,0.015653358086421168,1.2669611817367754,1.7996090075670308
915,15.388920767678636,-4.854569476404129,54.37120315237182,-418645.0973460467,1.7311135663609477e-05,27.459577074120293,25.34820641878164,26.79252619775705,92.31891507535721,421.1530490899208,370.8443651723344,-0.0029457546874509907,0.6351152348216512,0.6670508763632473,0.018645156362226446,32.04266802634776,2.607628671686825e-08,0.02284676971941752,0.01225496441534697,0.01059179601054228,0.6933153047499181,0.013506919156296497,0.00933985056312103,0.015746983648022017,0.01574698364797564,1.25917791565777,1.8002428040461032
920,15.392920551392136,-4.857449513095535,54.521150963552515,-418513.1706406867,1.733947259210064e-05,27.482639225478525,25.355241659010506,26.8116283492543,92.1880489993194,420.94543719330943,370.6546817273304,-0.0029794911712743262,0.6389161086191057,0.6710108762242287,0.018803785899798767,32.07132586558466,2.6075511544818468e-08,0.02298308458045935,0.012329703354684208,0.010653371930815626,0.6974793234867652,0.01359250501914329,0.00939057956131606,0.015840685970598133,0.015840685970549842,1.2514794799904834,1.80087717757488
925,15.3969279312281,-4.860337992908809,54.67041268635264,-418381.19372638443,1.7367913905223056e-05,27.50571635903431,25.36222947684609,26.8307428037444,92.05688883022027,420.73733691871684,370.4646380481785,-0.00301343365775059,0.6427198698836349,0.6749735552899072,0.018962553279757148,32.098968894897794,2.60747172437251e-08,0.02311951627682511,0.012404498530268948,0.010715008450164102,0.7016450706685435,0.013678159291868346,0.009441356984956763,0.015934465035960948,0.015934465035915626,1.2438634024549289,1.8015128563481657
930,15.400942936855476,-4.863234883371239,54.81899580650048,-418249.16679959797,1.7396460391751887e-05,27.528814301264514,25.369171029853515,26.849875299569245,91.9256190631007,420.5287477447659,370.27423272787564,-0.0030475823702531745,0.6465265207548635,0.6789390016952718,0.019121453420664646,32.12560722611678,2.6073907611702097e-08,0.023256064750759378,0.012479349673923619,0.010776705779009934,0.7058126183622532,0.013763881320023623,0.00949218343073576,0.016028320830208647,0.016028320830161993,1.2363230383966326,1.8021533912538774
