Found,quasiharmonic,mode,:,phonon
T(K),volume,F(eV),S(J/K),H(J/K),a(-6/K),Cp(J/mol),Cv,Cpion,Bt(GPa),T_ph-D(K),T-D(K),F_el_atom,S_el_atom,C_el_atom,M_el,Seebeck_coefficients(10**-6,V/K),Lorenz_number(WOK^{-2}),Q_el,Q_p,Q_e,C_mu,W_p,W_e,Y_p,Y_e
540,15.109160027148267,-4.6657490632891925,40.38752030726892,-428367.0869941115,1.531362872543681e-05,25.577242236856428,24.527033872276174,25.2018321185841,101.27255181762635,435.2359977201703,384.11157781225006,-0.0009864283777874451,0.3588553799454324,0.3754101182723257,0.007591044786455808,26.1406945584371,2.586431442608451e-08,0.012963330556095765,0.006835035611963396,0.006128285752020852,0.3853257988678609,0.007338554323663118,0.0056247762324326475,0.008942040148437512,0.008942040148379076,2.247986543431603,1.7528147149572673
545,15.112634250564371,-4.6678623517236,40.623635024241835,-428240.3682082841,1.5341689208655165e-05,25.60845939718068,24.545537206342303,25.22925755603258,101.16377497640025,435.07151475871717,383.946818236862,-0.0010053507947540806,0.36241189992530176,0.3792018411481044,0.007720742885316489,26.280321610169395,2.5871422103640393e-08,0.013090665582842496,0.0069045494864203695,0.006186106903036882,0.389322208702033,0.007416758053837211,0.005673907529005287,0.009029832581267414,0.009029832581207584,2.22569900600581,1.7534756460815688
550,15.116115616102647,-4.669988323075386,40.85787882148008,-428113.5409966365,1.5369581616212682e-05,25.63932033864561,24.56365549947318,25.256322224611623,101.05471360171444,434.90617639210194,383.78171995757515,-0.0010244621242124208,0.36597218869661585,0.382998114033991,0.00785112556269632,26.417942144508213,2.587847049891547e-08,0.013218117973645386,0.006974146641835738,0.0062439621371491805,0.39332435748891703,0.007495093311929406,0.005723024661715979,0.00911770503757129,0.009117705037512157,2.2038247522460774,1.754134456675233
555,15.119604091227364,-4.67212688404857,41.09028240954062,-427986.607376912,1.5397314815265706e-05,25.669838804007707,24.58140207031137,25.28303996906447,100.94536836695075,434.7400002792237,383.61628451734526,-0.0010437626096465912,0.36953623808590486,0.38679883494323525,0.007982183060567662,26.55357323727879,2.588545378620821e-08,0.013345687992997964,0.007043826714116402,0.0063018520829443364,0.3973321064167293,0.007573559105423486,0.005772128887574476,0.009205657521095402,0.009205657521036829,2.1823523256505535,1.754791243071672
560,15.123099645343093,-4.674277942888864,41.32087579336738,-427859.56929653673,1.54248973146236e-05,25.700027963729372,24.59878967040318,25.30942406312539,100.83573982593889,434.573003285124,383.4505133671124,-0.0010632524943859833,0.3731040393068959,0.3906039006039809,0.008113905701367654,26.687231750060455,2.5892366284479382e-08,0.013473375902035692,0.007113589342494457,0.0063597773623256665,0.4013453153769005,0.007652154450051714,0.005821221451983978,0.009293690036735764,0.009293690036678032,2.1612706979835234,1.7554460950213056
565,15.126602249731205,-4.676441409349432,41.549688292470805,-427732.42863555485,1.545233730625959e-05,25.72990044880379,24.615830512519203,25.335487242084536,100.7258285072962,434.4052015196838,383.2844078688124,-0.0010829320215538683,0.3766755829717331,0.39441320671925534,0.00824628388685025,26.818934339484226,2.5899202469973346e-08,0.013601181957580403,0.007183434168942709,0.006417738590142139,0.4053638432372024,0.007730878369137525,0.005870303588442877,0.009381802590098314,0.009381802590039706,2.140569238044951,1.7560991002582456
570,15.130111877471656,-4.678617194657511,41.77674856041146,-427605.1872094381,1.5479642679427256e-05,25.759468377200363,24.63253629737443,25.361241728979543,100.61563490044888,434.2366103748606,383.11796929908587,-0.001102801433997301,0.3802508591036154,0.39822664822082204,0.008379308097046729,26.948697466420416,2.5905956987615267e-08,0.013729106411240402,0.007253360837619757,0.006475736373843423,0.409387548108822,0.007809729892978635,0.00591937651826177,0.009469995187071454,0.009469995187014349,2.1202376951187345,1.7567503441557444
575,15.133628503387209,-4.680805211482079,42.002084603713044,-427477.84677174035,1.550682102681491e-05,25.78874337751488,24.648918238855206,25.38669925799759,100.50515942082926,434.0672445589114,382.95119885192366,-0.0011228609743402838,0.3838298571516677,0.40204411951728747,0.00851296888919104,27.07653740499788,2.5912624661223496e-08,0.013857149508599842,0.007323368994371202,0.006533771313168011,0.41341628760775456,0.007888708058269862,0.0059684414503299804,0.009558267833452365,0.009558267833394992,2.100266186338498,1.757399908210755
580,15.137152103967503,-4.683005373902266,42.22572380010715,-427350.40901664284,1.5533879638514743e-05,25.817736610211604,24.66498708783848,25.41187109547633,100.39440244402701,433.8971181299969,382.7840976422676,-0.0011431108848635545,0.38741256600676816,0.40586551473527277,0.00864725689681314,27.202470251425186,2.5919200502616377e-08,0.01398531148845307,0.007393458286250449,0.006591843999856813,0.4174499191092825,0.007967811907580207,0.0060174995808728645,0.009646620534571835,0.009646620534516051,2.0806451848958027,1.7580478684454144
585,15.140682657316741,-4.685217597376759,42.44769291624784,-427222.87558136013,1.5560825567726594e-05,25.846458797431662,24.68075315469963,25.436768069477356,100.28336426723327,433.7262445268069,382.61666670849144,-0.0011635514075455577,0.3909989740193896,0.40969072795430994,0.008782162828768978,27.32651193256876,2.592567971964618e-08,0.014113592582126019,0.007463628361095877,0.006649955017397329,0.421488299996191,0.00804704048885154,0.0060665520932744795,0.009735053294975617,0.009735053294921343,2.061365491049932,1.758694300749294
